first_name,last_name,birth_date,dept_no,from_date,to_date,title,emp_no
Chandrasekaran,Peek,1965-01-31,d005,1988-02-07,1990-09-17,Engineer,35441
Ashish,Talmon,1965-01-30,d006,1999-02-28,1999-01-01,Engineer,35642
Oscar,Kusalik,1965-01-01,d009,1991-05-11,1999-01-01,Senior Staff,35793
Ulf,Oberman,1965-01-29,d005,1997-03-15,1999-01-01,Senior Engineer,35798
Serif,Gladwell,1965-01-21,d002,1987-03-06,1999-01-01,Senior Staff,36521
Fen,Genin,1965-01-02,d007,1986-05-09,1999-01-01,Senior Staff,36626
Uma,Reinhard,1965-01-04,d009,1997-11-01,1999-01-01,Staff,36733
Hailing,Levergood,1965-01-01,d009,2000-01-12,1999-01-01,Staff,36844
Kotesh,Rajala,1965-01-22,d006,1992-06-23,1999-01-01,Engineer,36982
Jeong,Undy,1965-01-22,d009,1985-02-13,1999-01-01,Senior Staff,37070
Berni,Stranks,1965-02-01,d005,1985-11-05,1992-09-19,Engineer,37592
Nakhoon,Buescher,1965-01-31,d004,1988-06-12,1999-01-17,Assistant Engineer,37719
Suzette,Butterworth,1965-01-02,d005,1994-02-19,1999-01-01,Senior Engineer,37945
Ulf,Himler,1965-01-24,d007,1994-01-02,1995-08-05,Staff,38017
Michaela,Randi,1965-01-05,d005,1985-11-23,1999-01-01,Engineer,38043
Masasuke,Babu,1965-01-12,d004,1988-03-31,1999-01-01,Engineer,38103
Fumiko,Deverell,1965-01-14,d007,1987-08-15,1999-01-01,Senior Staff,38168
JoAnne,Baez,1965-01-14,d006,1987-02-16,1999-01-01,Senior Engineer,38550
Huei,Orsini,1965-01-14,d004,1986-06-04,1999-01-01,Engineer,38593
Shuichi,Ruemmler,1965-01-25,d001,1998-04-08,1999-01-01,Senior Staff,38947
Martijn,Vendrig,1965-01-08,d008,1997-03-03,1999-01-01,Senior Staff,39000
Changho,Cappelli,1965-01-08,d003,1996-05-04,1999-01-01,Staff,39036
Constantijn,Awdeh,1965-01-10,d004,1987-10-20,1990-06-10,Engineer,39268
Rimon,Kawashima,1965-01-07,d008,1992-02-06,1999-01-01,Senior Staff,39301
Mahmut,Lampe,1965-01-01,d004,1985-05-11,1999-01-01,Engineer,39341
Otmar,Sudbeck,1965-01-02,d007,1998-07-22,1999-01-01,Staff,39952
Toshiki,Ghazalie,1965-01-10,d007,1991-12-05,1999-01-01,Senior Staff,40269
Sudhanshu,Boissier,1965-01-07,d005,1985-05-11,1999-01-01,Engineer,40283
Spyrose,Felder,1965-01-20,d004,1996-06-16,1997-10-20,Senior Engineer,40301
Harngdar,Bernardinello,1965-01-20,d005,1988-02-29,1999-01-01,Engineer,40536
Wayne,Erev,1965-01-23,d002,1990-09-19,1993-02-02,Staff,40648
Michaela,Ramsak,1965-01-01,d008,1992-12-21,1999-01-01,Senior Staff,40765
Shimshon,Aingworth,1965-01-09,d009,1986-04-13,1999-01-01,Senior Staff,40773
Youpyo,Castellani,1965-01-31,d004,1998-09-04,1999-10-14,Engineer,40785
Marla,Cherinka,1965-01-17,d005,1986-12-01,1999-01-01,Technique Leader,40983
Petter,Thummel,1965-01-25,d004,1995-12-24,1999-01-01,Technique Leader,41114
Bikash,Buchter,1965-01-20,d007,1987-11-23,1996-01-08,Senior Staff,41137
Willard,Vernadat,1965-01-06,d005,1997-03-04,1999-01-01,Engineer,41357
Keung,Schapiro,1965-01-11,d004,2001-02-08,1999-01-01,Senior Engineer,41518
Xiong,Uhrik,1965-01-20,d005,1988-03-21,1999-01-01,Senior Engineer,41520
Uno,Heyers,1965-01-03,d005,1990-09-28,2001-11-29,Engineer,41552
Yucai,Simmen,1965-01-04,d007,1987-10-13,1999-01-01,Senior Staff,41609
Shuji,Remmers,1965-01-19,d003,1987-12-18,1999-01-01,Senior Staff,42778
Brigham,Eterovic,1965-01-29,d004,1994-10-08,1999-01-01,Engineer,42911
Shaleah,Eickenmeyer,1965-01-22,d008,1993-10-09,1999-01-01,Senior Staff,42950
Yucel,Lortz,1965-01-12,d006,1995-02-21,1999-01-01,Engineer,42955
Maha,Waterhouse,1965-01-13,d002,1997-07-04,1999-01-01,Senior Staff,43154
Ottavia,Mitsuhashi,1965-01-07,d001,1989-08-18,1996-07-13,Staff,43358
Huei,Boguraev,1965-01-26,d003,1993-12-31,1999-01-01,Senior Staff,43733
Phillip,Oxenboll,1965-01-11,d004,1999-05-26,1999-01-01,Engineer,43848
Alenka,Ritcey,1965-01-18,d005,1997-02-09,1999-01-01,Engineer,44054
Maria,Eppinger,1965-01-24,d005,1997-01-30,1999-01-01,Engineer,44265
Mingzeng,Sadowski,1965-01-16,d005,1989-11-12,1999-01-01,Senior Engineer,44540
Mark,Schwaller,1965-01-05,d001,1994-08-10,1999-01-01,Senior Staff,44900
Volkmar,Uhrik,1965-01-21,d004,1988-01-16,1999-01-01,Engineer,44959
Sariel,Wynblatt,1965-01-16,d005,1996-05-18,1999-01-01,Assistant Engineer,44962
Dulce,Speel,1965-01-11,d005,1987-10-19,1999-01-01,Engineer,45162
Masoud,Genin,1965-01-21,d006,1991-02-16,1994-06-01,Technique Leader,45590
Zhaofang,Penn,1965-01-26,d009,1997-07-24,1999-01-01,Senior Staff,46000
Weiye,Masand,1965-01-19,d007,1995-07-24,2002-01-29,Staff,46015
Mrinalini,Strooper,1965-01-20,d007,1990-03-05,1992-09-04,Staff,46222
Wuxu,Trogemann,1965-01-05,d007,1997-01-27,1999-01-01,Senior Staff,46328
Yaghout,Peng,1965-01-30,d005,1995-10-02,1997-10-07,Assistant Engineer,46531
Junsik,Berendt,1965-01-10,d004,1988-04-27,1999-01-01,Senior Engineer,46811
Tooru,Daescu,1965-01-22,d007,1998-03-20,1999-01-01,Senior Staff,46834
Pasqua,Maraist,1965-01-31,d005,1993-12-06,1999-01-01,Engineer,46943
Toong,Litecky,1965-01-03,d009,1989-03-01,1999-01-01,Senior Staff,47016
Marco,Usdin,1965-01-25,d005,1996-10-29,1999-01-01,Engineer,47139
Gonzalo,Binkley,1965-01-10,d005,1985-08-16,1999-01-01,Engineer,47262
Naraig,Jenevein,1965-01-26,d005,1987-01-18,1999-01-01,Senior Engineer,47515
Juyoung,Vieri,1965-01-21,d007,1991-08-12,1999-01-01,Senior Staff,47702
Edwin,Haldar,1965-01-05,d001,1995-07-12,1999-01-01,Senior Staff,47708
Sariel,Massonet,1965-01-29,d007,1987-11-20,1999-01-01,Senior Staff,48275
Hitomi,Schaap,1965-01-12,d003,1999-09-27,1999-01-01,Staff,48690
Leen,Lamparter,1965-01-28,d004,1993-06-07,1999-01-01,Engineer,48882
Yuichiro,Malabarba,1965-01-23,d002,1994-03-07,1999-01-01,Senior Staff,48904
Filipp,Akaboshi,1965-01-05,d007,1992-05-20,1999-01-01,Senior Staff,48947
Kazuhisa,Benantar,1965-01-16,d001,1990-03-30,1999-01-01,Senior Staff,49010
Filipp,Flanders,1965-01-07,d005,1990-11-26,1999-01-01,Engineer,49017
Lena,Peek,1965-01-09,d004,1991-05-16,1999-01-01,Engineer,49119
Tze,Bach,1965-01-03,d004,1999-03-09,1999-01-01,Engineer,49177
Siddarth,Cappelletti,1965-01-14,d007,1999-09-10,1999-01-01,Staff,49464
Baocai,Leaver,1965-01-14,d003,1998-08-05,1999-01-01,Senior Staff,49477
Xinan,Rindone,1965-01-26,d004,1996-10-08,1999-01-01,Engineer,50293
Mooi,Stafford,1965-01-24,d006,1996-10-06,1999-01-01,Senior Engineer,50311
Sumali,Kushner,1965-01-18,d005,1999-10-30,2001-10-29,Engineer,50360
Aron,Harbusch,1965-01-12,d002,1997-10-02,1999-01-01,Staff,50453
Slavian,Yemenis,1965-01-26,d005,1993-08-06,1994-11-18,Technique Leader,50587
Boguslaw,Snedden,1965-01-30,d001,1985-02-20,1999-01-01,Senior Staff,50670
Marie,Khalid,1965-01-06,d004,1996-06-11,1999-01-01,Senior Engineer,50831
Chriss,Fasbender,1965-01-29,d007,1995-05-23,1999-01-01,Staff,51036
Theirry,Albarhamtoshy,1965-01-29,d001,1991-09-27,1999-01-01,Senior Staff,51057
Youngkon,Rohrbach,1965-01-15,d005,1989-10-20,1999-01-01,Engineer,51060
Fumiko,Mundy,1965-01-17,d007,1998-09-22,2001-08-20,Staff,51118
Rosine,Lakshmanan,1965-01-29,d005,1986-01-31,1999-01-01,Engineer,51142
Slavian,Munawer,1965-01-29,d007,1999-08-06,2001-09-04,Senior Staff,51502
Remmert,Munke,1965-01-19,d005,1991-09-22,1998-05-19,Assistant Engineer,51868
Chikako,Armand,1965-01-13,d004,1985-05-18,1999-01-01,Senior Engineer,52038
Phule,Heijenga,1965-01-14,d005,1996-12-08,1999-01-01,Senior Staff,52040
Trygve,Krupka,1965-01-20,d008,1994-03-11,1999-01-01,Senior Staff,52283
Adas,Denti,1965-01-28,d007,1986-05-30,1999-01-01,Senior Staff,52386
Jouni,Munoz,1965-01-21,d005,1996-10-07,1999-01-01,Senior Staff,52590
Augustine,Mungall,1965-01-25,d004,1987-08-31,1994-01-13,Engineer,52599
Arup,Colorni,1965-01-09,d007,1996-02-05,1999-01-01,Senior Staff,52639
Shugo,Yurek,1965-01-31,d007,1992-08-28,1999-01-01,Senior Staff,52770
Alain,Penn,1965-01-15,d006,1986-05-03,1999-01-01,Technique Leader,52778
Khalil,Picci,1965-01-31,d004,1987-03-21,1998-11-24,Engineer,52956
Lobel,Werthner,1965-01-22,d004,1988-03-17,1999-01-01,Engineer,52970
Mechthild,Lamma,1965-01-25,d004,1986-05-19,1993-06-03,Engineer,53088
Premsyl,Lortz,1965-01-31,d007,1993-02-01,1999-01-01,Senior Staff,53278
Eberhardt,Carrera,1965-01-06,d008,1999-02-23,1999-01-01,Staff,53314
Sham,Vasanthakumar,1965-01-12,d001,1985-10-24,1993-05-24,Senior Staff,53431
Zdislav,Mandelberg,1965-01-20,d004,1994-09-11,1999-01-01,Engineer,53499
Jiafu,Marchegay,1965-01-30,d005,1985-03-02,1999-01-01,Engineer,53597
Manu,Erva,1965-01-21,d007,1989-03-17,1993-04-29,Staff,53746
Bodo,Schade,1965-01-23,d001,1986-02-14,1999-01-01,Senior Staff,53874
Olivera,Pargaonkar,1965-01-23,d003,1989-03-13,1992-03-29,Staff,53891
Arnould,Gaughan,1965-01-27,d004,1991-01-23,1999-01-01,Engineer,53924
Shaowen,Segond,1965-01-01,d005,1986-01-06,1999-01-01,Engineer,54198
Etsuo,Serot,1965-01-19,d002,1989-06-14,1999-01-01,Senior Staff,54632
Sumant,Nergos,1965-01-29,d004,1994-03-02,1999-01-01,Senior Staff,54795
Breannda,Cangellaris,1965-01-13,d007,2000-01-27,1999-01-01,Staff,54800
Toshiko,Alblas,1965-01-12,d004,1995-07-20,1996-07-23,Engineer,55121
Adit,Syrotiuk,1965-01-25,d004,1993-07-16,1999-01-01,Engineer,55640
Ulf,Ranft,1965-01-30,d007,1996-02-26,1996-05-17,Senior Staff,55670
Shih,Lindqvist,1965-01-02,d005,1995-03-29,1999-01-01,Senior Engineer,55687
Jianwen,Litzler,1965-01-23,d004,1987-06-17,1999-01-01,Engineer,55799
Adin,Scallan,1965-01-18,d007,1987-09-15,1999-01-01,Staff,55857
Makato,Remmers,1965-01-11,d005,1989-04-16,1999-01-01,Engineer,56105
Remzi,Douceur,1965-01-19,d004,1992-12-01,1999-01-01,Engineer,56209
Sigeru,Nivat,1965-01-30,d002,1991-10-24,1999-01-01,Senior Staff,56415
Olivera,Hanabata,1965-01-27,d007,1986-11-10,1999-01-01,Staff,56428
Roded,Picco,1965-01-28,d005,1993-11-06,1999-01-01,Assistant Engineer,56682
Nagui,Gruenwald,1965-01-09,d004,1995-12-24,1997-06-14,Engineer,56829
Menkae,Chinin,1965-01-14,d004,1989-08-19,1998-08-27,Senior Engineer,56847
Sanjoy,Boudaillier,1965-01-25,d005,1989-12-27,1999-01-01,Engineer,57934
Paloma,Benzaken,1965-01-29,d003,1989-10-17,1998-09-11,Senior Staff,57982
Bezalel,Karner,1965-01-05,d002,1994-09-27,1999-01-01,Staff,58141
Shigenori,Sullins,1965-01-09,d001,1988-02-24,1999-01-01,Senior Staff,58147
Kiyotoshi,Kusalik,1965-01-30,d006,1998-11-19,1999-06-26,Engineer,58217
Mariusz,Vural,1965-01-22,d005,1993-11-14,1999-01-01,Senior Engineer,58384
Ziya,Zambonelli,1965-01-25,d004,1999-06-29,1999-01-01,Engineer,58454
Yechiam,Cairo,1965-01-22,d001,2000-10-21,1999-01-01,Senior Staff,58497
Sungwon,Asser,1965-01-06,d007,2000-01-27,2000-04-01,Staff,58601
Gennady,Liesche,1965-01-04,d007,1987-12-02,1999-01-01,Senior Staff,58819
Palash,Trelles,1965-01-04,d005,1998-11-18,1999-01-01,Engineer,58990
Ronnie,Pollock,1965-01-08,d005,1990-06-19,1999-01-01,Technique Leader,59195
Zissis,Bazzichi,1965-01-15,d007,1987-02-07,1991-01-25,Staff,59329
Zita,Hiltgen,1965-01-18,d002,1999-01-26,1999-01-01,Staff,59640
Saeko,Baik,1965-01-09,d004,1997-10-11,1999-08-15,Staff,59661
Zsolt,Riefers,1965-02-01,d001,1987-09-25,1999-01-01,Staff,59869
Steen,Salvesen,1965-01-28,d004,1993-02-03,1999-01-01,Technique Leader,59966
Heekeun,Emmart,1965-01-16,d005,1995-09-23,1999-01-01,Assistant Engineer,60000
Surveyors,Bade,1965-02-01,d009,1990-04-11,1999-01-01,Staff,60091
Erzsebet,Claffy,1965-01-23,d001,1999-02-19,1999-01-01,Staff,60238
Jeanna,Stemann,1965-01-19,d004,1988-08-29,1999-01-01,Engineer,60559
Moty,Mersereau,1965-01-02,d003,1991-09-03,1999-01-01,Staff,60821
Bedir,Siegrist,1965-01-14,d004,1997-05-13,1999-01-01,Engineer,60845
Rildo,Masaki,1965-01-21,d006,1990-01-14,1999-01-01,Engineer,60875
Tetsushi,Sridhar,1965-01-09,d007,1989-01-12,1989-10-19,Staff,60959
Leszek,Werthner,1965-01-30,d001,1999-03-03,1999-01-01,Staff,61147
Cheong,Uhrik,1965-01-09,d008,2002-05-09,1999-01-01,Engineer,61253
Dannz,Ohori,1965-01-01,d009,1988-01-18,1997-04-13,Senior Staff,61377
Kasidit,Papsdorf,1965-01-08,d005,1993-08-17,1999-01-01,Senior Engineer,61541
Hauke,Templeman,1965-01-24,d007,1991-10-23,1999-02-21,Staff,61680
Woody,Rusmann,1965-01-19,d006,1993-02-26,1999-01-01,Assistant Engineer,61873
Sastry,Reeken,1965-01-18,d007,1990-07-24,1992-05-17,Staff,61983
Heeju,Cappelli,1965-01-24,d004,1987-01-15,1999-01-01,Senior Engineer,62033
Karlis,Nanard,1965-01-31,d004,1992-09-19,1999-01-01,Engineer,62046
Mihalis,Haldar,1965-01-25,d004,1998-05-11,2001-02-03,Senior Engineer,62167
